CompetitorNumber,CompetitorName,DogName,CountryCode,IntermediateTime1,IntermediateTime2,IntermediateTime3,FinishTime,FaultCount,RefusalCount,IsEliminated,Placement
204,Name0204,Dog0204,NL,9.208,13.107,17.460,30.721,5,5,False,47
880,Name0880,Dog0880,NL,5.381,14.805,26.693,30.747,5,5,False,48
719,Name0719,Dog0719,NL,11.968,18.935,26.262,30.758,5,5,False,49
54,Name0054,Dog0054,NL,8.088,12.517,27.608,30.785,5,5,False,50
634,Name0634,Dog0634,NL,11.808,17.570,20.950,30.816,5,5,False,51
227,Name0227,Dog0227,NL,3.653,13.516,19.669,30.931,5,5,False,52
197,Name0197,Dog0197,NL,6.551,11.447,27.397,31.075,5,5,False,53
965,Name0965,Dog0965,NL,4.414,17.196,23.898,31.243,5,5,False,54
370,Name0370,Dog0370,NL,7.294,13.290,26.352,31.266,5,5,False,55
469,Name0469,Dog0469,NL,7.426,11.754,21.361,31.404,5,5,False,56
757,Name0757,Dog0757,NL,8.686,13.085,21.897,31.441,5,5,False,57
150,Name0150,Dog0150,NL,5.140,11.209,25.544,31.442,5,5,False,58
151,Name0151,Dog0151,NL,5.140,11.209,25.544,31.442,5,5,False,58
88,Name0088,Dog0088,NL,3.261,7.250,19.881,31.624,5,5,False,59
962,Name0962,Dog0962,NL,10.759,17.467,23.745,31.629,5,5,False,60
858,Name0858,Dog0858,NL,8.839,13.643,17.986,31.638,5,5,False,61
482,Name0482,Dog0482,NL,12.466,18.730,27.716,31.790,5,5,False,62
41,Name0041,Dog0041,NL,5.929,12.163,16.383,31.874,5,5,False,63
431,Name0431,Dog0431,NL,5.966,19.766,26.346,31.886,5,5,False,64
178,Name0178,Dog0178,NL,10.360,21.978,26.011,31.993,5,5,False,65
584,Name0584,Dog0584,NL,3.952,12.341,18.167,32.005,5,5,False,66
180,Name0180,Dog0180,NL,17.125,21.235,26.065,32.052,5,5,False,67
901,Name0901,Dog0901,NL,14.088,20.707,26.422,32.052,5,5,False,67
668,Name0668,Dog0668,NL,10.138,16.194,28.167,32.120,5,5,False,68
538,Name0538,Dog0538,NL,3.025,10.979,26.924,32.124,5,5,False,69
972,Name0972,Dog0972,NL,13.394,21.269,27.971,32.278,5,5,False,70
422,Name0422,Dog0422,NL,5.154,16.101,19.409,32.332,5,5,False,71
787,Name0787,Dog0787,NL,5.256,10.918,20.457,32.360,5,5,False,72
45,Name0045,Dog0045,NL,7.303,20.617,28.229,32.372,5,5,False,73
877,Name0877,Dog0877,NL,12.937,16.984,26.849,32.417,5,5,False,74
26,Name0026,Dog0026,NL,5.904,11.132,14.710,32.430,5,5,False,75
729,Name0729,Dog0729,NL,15.684,20.963,27.776,32.556,5,5,False,76
546,Name0546,Dog0546,NL,13.259,16.379,26.869,32.603,5,5,False,77
705,Name0705,Dog0705,NL,11.309,25.731,29.055,32.616,5,5,False,78
645,Name0645,Dog0645,NL,17.864,22.509,26.072,32.624,5,5,False,79
169,Name0169,Dog0169,NL,4.747,11.958,26.255,32.796,5,5,False,80
769,Name0769,Dog0769,NL,11.321,14.816,24.093,32.829,5,5,False,81
238,Name0238,Dog0238,NL,3.588,18.958,28.256,32.831,5,5,False,82
498,Name0498,Dog0498,NL,9.615,13.220,24.633,32.831,5,5,False,82
439,Name0439,Dog0439,NL,10.850,16.741,27.092,32.997,5,5,False,83
103,Name0103,Dog0103,NL,5.252,11.748,18.748,33.067,5,5,False,84
449,Name0449,Dog0449,NL,5.633,9.455,14.297,33.166,5,5,False,85
12,Name0012,Dog0012,NL,8.887,14.208,23.000,33.188,5,5,False,86
804,Name0804,Dog0804,NL,10.153,13.235,22.215,33.188,5,5,False,86
669,Name0669,Dog0669,NL,8.442,18.557,26.914,33.211,5,5,False,87
385,Name0385,Dog0385,NL,4.004,7.765,15.313,33.310,5,5,False,88
646,Name0646,Dog0646,NL,7.893,11.955,22.165,33.314,5,5,False,89
114,Name0114,Dog0114,NL,9.045,13.272,21.728,33.378,5,5,False,90
615,Name0615,Dog0615,NL,4.516,8.627,27.495,33.420,5,5,False,91
533,Name0533,Dog0533,NL,5.976,23.537,27.051,33.490,5,5,False,92
925,Name0925,Dog0925,NL,16.964,22.369,29.812,33.630,5,5,False,93
838,Name0838,Dog0838,NL,5.547,18.481,24.768,33.659,5,5,False,94
764,Name0764,Dog0764,NL,4.988,20.767,28.387,33.688,5,5,False,95
188,Name0188,Dog0188,NL,6.879,17.373,28.094,33.724,5,5,False,96
574,Name0574,Dog0574,NL,3.531,8.814,19.855,33.806,5,5,False,97
93,Name0093,Dog0093,NL,4.468,20.734,30.052,34.047,5,5,False,98
562,Name0562,Dog0562,NL,17.600,22.362,27.706,34.071,5,5,False,99
337,Name0337,Dog0337,NL,19.060,24.953,30.524,34.105,5,5,False,100
485,Name0485,Dog0485,NL,10.838,16.132,20.932,34.117,5,5,False,101
186,Name0186,Dog0186,NL,12.764,18.853,26.273,34.197,5,5,False,102
87,Name0087,Dog0087,NL,12.371,25.717,30.583,34.231,5,5,False,103
703,Name0703,Dog0703,NL,4.385,17.112,22.281,34.280,5,5,False,104
416,Name0416,Dog0416,NL,8.812,12.171,23.713,34.282,5,5,False,105
650,Name0650,Dog0650,NL,5.077,21.776,26.309,34.291,5,5,False,106
455,Name0455,Dog0455,NL,9.051,21.428,27.565,34.383,5,5,False,107
875,Name0875,Dog0875,NL,12.002,16.970,20.489,34.392,5,5,False,108
985,Name0985,Dog0985,NL,13.849,22.518,31.013,34.395,5,5,False,109
128,Name0128,Dog0128,NL,5.992,12.397,17.517,34.455,5,5,False,110
682,Name0682,Dog0682,NL,12.140,16.561,27.099,34.502,5,5,False,111
677,Name0677,Dog0677,NL,12.827,17.919,27.943,34.566,5,5,False,112
699,Name0699,Dog0699,NL,6.666,15.324,21.230,34.637,5,5,False,113
612,Name0612,Dog0612,NL,3.806,13.139,19.595,34.709,5,5,False,114
185,Name0185,Dog0185,NL,13.811,19.371,30.666,34.762,5,5,False,115
657,Name0657,Dog0657,NL,10.833,14.873,24.957,34.831,5,5,False,116
672,Name0672,Dog0672,NL,3.264,12.513,22.983,34.980,5,5,False,117
354,Name0354,Dog0354,NL,3.488,15.536,29.742,35.056,5,5,False,118
609,Name0609,Dog0609,NL,4.258,20.665,28.579,35.058,5,5,False,119
44,Name0044,Dog0044,NL,12.253,19.690,24.827,35.269,5,5,False,120
481,Name0481,Dog0481,NL,3.260,17.447,27.494,35.296,5,5,False,121
734,Name0734,Dog0734,NL,13.259,17.152,30.784,35.318,5,5,False,122
621,Name0621,Dog0621,NL,15.151,20.124,29.195,35.349,5,5,False,123
635,Name0635,Dog0635,NL,3.628,12.801,27.908,35.434,5,5,False,124
823,Name0823,Dog0823,NL,6.141,14.131,26.446,35.453,5,5,False,125
398,Name0398,Dog0398,NL,13.529,21.835,29.658,35.478,5,5,False,126
716,Name0716,Dog0716,NL,6.731,20.959,29.593,35.575,5,5,False,127
290,Name0290,Dog0290,NL,3.615,8.618,27.608,35.578,5,5,False,128
253,Name0253,Dog0253,NL,11.329,21.335,30.486,35.781,5,5,False,129
514,Name0514,Dog0514,NL,6.752,24.680,29.736,35.786,5,5,False,130
113,Name0113,Dog0113,NL,6.376,12.399,31.573,35.816,5,5,False,131
245,Name0245,Dog0245,NL,3.914,8.890,18.148,35.868,5,5,False,132
690,Name0690,Dog0690,NL,5.766,16.374,31.841,35.896,5,5,False,133
1,Name0001,Dog0001,NL,11.129,20.846,28.725,35.923,5,5,False,134
497,Name0497,Dog0497,NL,9.999,20.820,29.010,35.961,5,5,False,135
589,Name0589,Dog0589,NL,14.577,26.251,32.297,35.980,5,5,False,136
733,Name0733,Dog0733,NL,9.697,19.026,32.515,36.090,5,5,False,137
79,Name0079,Dog0079,NL,6.755,17.303,21.742,36.136,5,5,False,138
803,Name0803,Dog0803,NL,11.189,24.291,30.240,36.168,5,5,False,139
518,Name0518,Dog0518,NL,8.864,15.855,21.823,36.230,5,5,False,140
117,Name0117,Dog0117,NL,11.252,15.635,22.593,36.236,5,5,False,141
602,Name0602,Dog0602,NL,4.038,15.936,32.016,36.370,5,5,False,142
190,Name0190,Dog0190,NL,6.240,12.186,22.054,36.402,5,5,False,143
934,Name0934,Dog0934,NL,14.455,18.971,22.089,36.412,5,5,False,144
598,Name0598,Dog0598,NL,14.718,24.104,33.115,36.518,5,5,False,145
996,Name0996,Dog0996,NL,8.311,13.010,17.564,36.522,5,5,False,146
458,Name0458,Dog0458,NL,13.761,23.063,26.202,36.540,5,5,False,147
399,Name0399,Dog0399,NL,7.438,15.875,23.454,36.571,5,5,False,148
216,Name0216,Dog0216,NL,3.235,22.805,30.734,36.585,5,5,False,149
840,Name0840,Dog0840,NL,4.297,10.198,27.336,36.587,5,5,False,150
713,Name0713,Dog0713,NL,10.805,21.240,26.866,36.614,5,5,False,151
267,Name0267,Dog0267,NL,15.580,20.537,28.421,36.615,5,5,False,152
403,Name0403,Dog0403,NL,11.095,14.345,17.870,36.634,5,5,False,153
735,Name0735,Dog0735,NL,10.426,19.929,27.972,36.744,5,5,False,154
509,Name0509,Dog0509,NL,6.523,15.774,19.205,36.799,5,5,False,155
397,Name0397,Dog0397,NL,8.001,24.669,31.873,36.957,5,5,False,156
531,Name0531,Dog0531,NL,7.617,18.067,30.220,36.961,5,5,False,157
161,Name0161,Dog0161,NL,8.048,22.101,27.548,36.980,5,5,False,158
414,Name0414,Dog0414,NL,8.558,26.125,33.289,37.022,5,5,False,159
904,Name0904,Dog0904,NL,4.091,13.358,30.643,37.035,5,5,False,160
315,Name0315,Dog0315,NL,6.355,23.103,26.739,37.103,5,5,False,161
136,Name0136,Dog0136,NL,15.636,20.056,34.133,37.173,5,5,False,162
902,Name0902,Dog0902,NL,14.329,19.434,22.915,37.254,5,5,False,163
585,Name0585,Dog0585,NL,5.745,10.957,30.096,37.286,5,5,False,164
780,Name0780,Dog0780,NL,4.280,15.503,26.782,37.289,5,5,False,165
499,Name0499,Dog0499,NL,8.280,12.128,19.362,37.295,5,5,False,166
33,Name0033,Dog0033,NL,14.711,26.024,32.869,37.303,5,5,False,167
674,Name0674,Dog0674,NL,14.655,27.264,31.779,37.338,5,5,False,168
3,Name0003,Dog0003,NL,12.510,19.956,28.973,37.405,5,5,False,169
658,Name0658,Dog0658,NL,4.897,23.684,34.037,37.412,5,5,False,170
283,Name0283,Dog0283,NL,12.716,19.942,26.767,37.449,5,5,False,171
781,Name0781,Dog0781,NL,6.455,23.452,34.074,37.542,5,5,False,172
679,Name0679,Dog0679,NL,4.008,7.527,25.091,37.561,5,5,False,173
293,Name0293,Dog0293,NL,14.223,17.243,24.065,37.576,5,5,False,174
513,Name0513,Dog0513,NL,4.408,21.963,34.215,37.633,5,5,False,175
661,Name0661,Dog0661,NL,4.171,23.654,32.235,37.643,5,5,False,176
63,Name0063,Dog0063,NL,12.336,19.711,34.233,37.662,5,5,False,177
837,Name0837,Dog0837,NL,17.437,27.494,30.582,37.714,5,5,False,178
955,Name0955,Dog0955,NL,16.674,24.690,33.812,37.740,5,5,False,179
6,Name0006,Dog0006,NL,6.477,15.164,25.551,37.866,5,5,False,180
119,Name0119,Dog0119,NL,10.247,18.384,23.405,37.876,5,5,False,181
275,Name0275,Dog0275,NL,13.290,19.950,25.469,37.925,5,5,False,182
230,Name0230,Dog0230,NL,15.788,21.799,31.535,37.960,5,5,False,183
405,Name0405,Dog0405,NL,4.036,13.049,30.102,38.039,5,5,False,184
536,Name0536,Dog0536,NL,14.207,18.753,27.572,38.187,5,5,False,185
106,Name0106,Dog0106,NL,4.711,19.093,34.619,38.344,5,5,False,186
714,Name0714,Dog0714,NL,4.840,15.756,30.448,38.420,5,5,False,187
638,Name0638,Dog0638,NL,3.302,12.962,28.650,38.468,5,5,False,188
752,Name0752,Dog0752,NL,11.736,17.855,28.787,38.498,5,5,False,189
806,Name0806,Dog0806,NL,4.477,10.325,21.215,38.591,5,5,False,190
496,Name0496,Dog0496,NL,11.857,21.543,28.539,38.629,5,5,False,191
611,Name0611,Dog0611,NL,11.672,26.850,34.957,38.678,5,5,False,192
96,Name0096,Dog0096,NL,6.738,24.004,29.887,38.686,5,5,False,193
218,Name0218,Dog0218,NL,6.862,14.452,22.596,38.686,5,5,False,193
284,Name0284,Dog0284,NL,6.290,24.158,31.324,38.717,5,5,False,194
984,Name0984,Dog0984,NL,10.430,16.657,19.919,38.813,5,5,False,195
765,Name0765,Dog0765,NL,11.398,16.881,21.406,38.814,5,5,False,196
294,Name0294,Dog0294,NL,4.527,17.507,29.889,38.819,5,5,False,197
500,Name0500,Dog0500,NL,4.408,9.853,19.176,38.827,5,5,False,198
95,Name0095,Dog0095,NL,11.151,21.550,34.624,38.866,5,5,False,199
859,Name0859,Dog0859,NL,11.040,28.237,35.561,38.870,5,5,False,200
490,Name0490,Dog0490,NL,3.970,11.155,22.043,38.955,5,5,False,201
791,Name0791,Dog0791,NL,4.508,13.239,23.769,38.959,5,5,False,202
22,Name0022,Dog0022,NL,16.303,24.342,28.921,38.972,5,5,False,203
18,Name0018,Dog0018,NL,8.708,19.318,30.645,38.990,5,5,False,204
959,Name0959,Dog0959,NL,15.027,20.095,27.116,39.024,5,5,False,205
423,Name0423,Dog0423,NL,3.933,10.706,21.515,39.137,5,5,False,206
704,Name0704,Dog0704,NL,8.584,18.753,29.822,39.158,5,5,False,207
960,Name0960,Dog0960,NL,6.126,24.910,31.008,39.167,5,5,False,208
991,Name0991,Dog0991,NL,9.709,22.190,32.483,39.169,5,5,False,209
855,Name0855,Dog0855,NL,15.101,32.395,35.539,39.185,5,5,False,210
116,Name0116,Dog0116,NL,7.323,20.877,25.155,39.232,5,5,False,211
503,Name0503,Dog0503,NL,4.508,14.487,26.352,39.259,5,5,False,212
170,Name0170,Dog0170,NL,5.034,13.163,21.789,39.283,5,5,False,213
132,Name0132,Dog0132,NL,15.242,25.156,29.520,39.463,5,5,False,214
836,Name0836,Dog0836,NL,6.914,17.434,34.028,39.500,5,5,False,215
23,Name0023,Dog0023,NL,16.693,27.754,36.372,39.501,5,5,False,216
47,Name0047,Dog0047,NL,5.583,20.798,36.031,39.509,5,5,False,217
81,Name0081,Dog0081,NL,17.551,25.906,29.933,39.534,5,5,False,218
67,Name0067,Dog0067,NL,8.516,17.022,27.909,39.606,5,5,False,219
480,Name0480,Dog0480,NL,9.271,19.097,29.572,39.621,5,5,False,220
945,Name0945,Dog0945,NL,10.617,20.620,36.195,39.631,5,5,False,221
198,Name0198,Dog0198,NL,5.371,16.773,29.927,39.666,5,5,False,222
580,Name0580,Dog0580,NL,7.207,16.334,31.797,39.675,5,5,False,223
571,Name0571,Dog0571,NL,17.344,22.634,28.622,39.679,5,5,False,224
420,Name0420,Dog0420,NL,12.357,19.005,22.355,39.751,5,5,False,225
606,Name0606,Dog0606,NL,16.302,27.621,31.144,39.810,5,5,False,226
484,Name0484,Dog0484,NL,3.900,7.157,23.682,39.825,5,5,False,227
380,Name0380,Dog0380,NL,7.598,16.300,28.300,39.842,5,5,False,228
435,Name0435,Dog0435,NL,15.482,24.027,27.172,39.872,5,5,False,229
10,Name0010,Dog0010,NL,6.245,13.046,20.885,39.963,5,5,False,230
917,Name0917,Dog0917,NL,6.261,25.822,35.535,39.966,5,5,False,231
798,Name0798,Dog0798,NL,13.199,18.971,25.463,40.007,5,5,False,232
706,Name0706,Dog0706,NL,17.037,21.410,26.694,40.033,5,5,False,233
69,Name0069,Dog0069,NL,7.013,13.276,26.189,40.050,5,5,False,234
167,Name0167,Dog0167,NL,14.377,17.967,24.335,40.094,5,5,False,235
425,Name0425,Dog0425,NL,11.764,27.630,33.658,40.095,5,5,False,236
958,Name0958,Dog0958,NL,9.439,15.665,24.207,40.104,5,5,False,237
760,Name0760,Dog0760,NL,12.794,25.795,32.123,40.141,5,5,False,238
604,Name0604,Dog0604,NL,10.635,24.373,32.755,40.142,5,5,False,239
194,Name0194,Dog0194,NL,14.460,20.071,36.241,40.150,5,5,False,240
992,Name0992,Dog0992,NL,7.612,11.137,26.109,40.182,5,5,False,241
957,Name0957,Dog0957,NL,9.258,12.457,28.338,40.200,5,5,False,242
465,Name0465,Dog0465,NL,13.242,19.891,35.664,40.207,5,5,False,243
182,Name0182,Dog0182,NL,6.209,15.010,29.252,40.217,5,5,False,244
524,Name0524,Dog0524,NL,8.289,15.923,27.184,40.259,5,5,False,245
905,Name0905,Dog0905,NL,9.667,29.306,35.218,40.261,5,5,False,246
229,Name0229,Dog0229,NL,14.615,21.589,31.016,40.301,5,5,False,247
578,Name0578,Dog0578,NL,8.944,16.832,25.835,40.304,5,5,False,248
545,Name0545,Dog0545,NL,5.158,24.378,32.845,40.314,5,5,False,249
850,Name0850,Dog0850,NL,12.999,24.510,29.120,40.354,5,5,False,250
24,Name0024,Dog0024,NL,8.294,16.919,24.372,40.374,5,5,False,251
814,Name0814,Dog0814,NL,11.184,26.393,35.909,40.390,5,5,False,252
360,Name0360,Dog0360,NL,3.858,16.405,26.406,40.448,5,5,False,253
137,Name0137,Dog0137,NL,3.645,11.053,29.778,40.449,5,5,False,254
171,Name0171,Dog0171,NL,5.897,16.650,21.305,40.475,5,5,False,255
367,Name0367,Dog0367,NL,9.763,14.722,33.107,40.545,5,5,False,256
731,Name0731,Dog0731,NL,11.694,21.223,37.258,40.586,5,5,False,257
440,Name0440,Dog0440,NL,5.037,21.318,35.658,40.599,5,5,False,258
936,Name0936,Dog0936,NL,10.421,20.884,33.995,40.635,5,5,False,259
742,Name0742,Dog0742,NL,14.765,22.666,28.991,40.638,5,5,False,260
874,Name0874,Dog0874,NL,13.622,33.295,37.179,40.642,5,5,False,261
588,Name0588,Dog0588,NL,3.547,19.150,25.215,40.749,5,5,False,262
434,Name0434,Dog0434,NL,15.957,21.907,25.595,40.783,5,5,False,263
338,Name0338,Dog0338,NL,10.043,16.479,25.470,40.799,5,5,False,264
519,Name0519,Dog0519,NL,15.577,26.776,34.500,40.809,5,5,False,265
235,Name0235,Dog0235,NL,6.851,23.267,31.103,40.825,5,5,False,266
647,Name0647,Dog0647,NL,6.232,24.482,34.042,40.827,5,5,False,267
952,Name0952,Dog0952,NL,14.760,25.902,33.808,40.835,5,5,False,268
280,Name0280,Dog0280,NL,5.685,17.125,30.898,40.891,5,5,False,269
878,Name0878,Dog0878,NL,19.614,28.743,32.234,40.899,5,5,False,270
144,Name0144,Dog0144,NL,16.688,28.874,32.185,40.902,5,5,False,271
766,Name0766,Dog0766,NL,8.947,19.707,29.030,40.956,5,5,False,272
759,Name0759,Dog0759,NL,13.933,23.848,35.946,40.980,5,5,False,273
990,Name0990,Dog0990,NL,9.385,24.948,38.009,41.090,5,5,False,274
417,Name0417,Dog0417,NL,6.046,21.458,37.674,41.098,5,5,False,275
58,Name0058,Dog0058,NL,14.838,19.034,22.262,41.099,5,5,False,276
908,Name0908,Dog0908,NL,11.005,17.154,29.858,41.125,5,5,False,277
478,Name0478,Dog0478,NL,7.445,10.591,25.875,41.136,5,5,False,278
463,Name0463,Dog0463,NL,6.075,12.072,28.552,41.223,5,5,False,279
828,Name0828,Dog0828,NL,3.539,21.134,38.123,41.248,5,5,False,280
298,Name0298,Dog0298,NL,4.982,20.149,34.607,41.258,5,5,False,281
42,Name0042,Dog0042,NL,17.928,31.474,35.431,41.274,5,5,False,282
193,Name0193,Dog0193,NL,15.066,18.640,37.106,41.300,5,5,False,283
215,Name0215,Dog0215,NL,9.080,14.221,27.725,41.302,5,5,False,284
159,Name0159,Dog0159,NL,4.338,19.942,35.019,41.345,5,5,False,285
950,Name0950,Dog0950,NL,8.141,14.283,23.625,41.353,5,5,False,286
244,Name0244,Dog0244,NL,15.258,23.548,32.323,41.389,5,5,False,287
471,Name0471,Dog0471,NL,8.229,27.970,37.563,41.401,5,5,False,288
694,Name0694,Dog0694,NL,10.018,19.710,29.703,41.403,5,5,False,289
445,Name0445,Dog0445,NL,4.350,19.322,32.455,41.543,5,5,False,290
623,Name0623,Dog0623,NL,8.506,24.832,34.647,41.558,5,5,False,291
978,Name0978,Dog0978,NL,9.010,19.228,31.373,41.590,5,5,False,292
851,Name0851,Dog0851,NL,11.774,15.533,31.769,41.598,5,5,False,293
720,Name0720,Dog0720,NL,11.971,25.178,31.326,41.605,5,5,False,294
693,Name0693,Dog0693,NL,9.298,22.333,29.586,41.665,5,5,False,295
510,Name0510,Dog0510,NL,12.638,19.057,35.300,41.687,5,5,False,296
328,Name0328,Dog0328,NL,15.380,22.673,30.128,41.696,5,5,False,297
915,Name0915,Dog0915,NL,9.227,15.047,32.126,41.730,5,5,False,298
866,Name0866,Dog0866,NL,6.700,17.610,28.275,41.817,5,5,False,299
502,Name0502,Dog0502,NL,10.977,22.482,33.201,41.830,5,5,False,300
747,Name0747,Dog0747,NL,17.501,32.969,37.891,41.836,5,5,False,301
404,Name0404,Dog0404,NL,9.917,22.929,38.809,41.851,5,5,False,302
375,Name0375,Dog0375,NL,18.963,27.286,32.809,41.867,5,5,False,303
376,Name0376,Dog0376,NL,18.963,27.286,32.809,41.867,5,5,False,303
273,Name0273,Dog0273,NL,14.888,24.207,34.487,41.868,5,5,False,304
975,Name0975,Dog0975,NL,4.167,10.652,25.007,41.873,5,5,False,305
286,Name0286,Dog0286,NL,10.798,28.625,37.234,41.914,5,5,False,306
582,Name0582,Dog0582,NL,13.411,26.777,36.710,41.943,5,5,False,307
345,Name0345,Dog0345,NL,7.137,17.310,33.103,41.946,5,5,False,308
815,Name0815,Dog0815,NL,5.541,24.493,29.610,41.958,5,5,False,309
594,Name0594,Dog0594,NL,5.826,20.363,33.463,41.990,5,5,False,310
974,Name0974,Dog0974,NL,17.685,22.493,30.658,42.107,5,5,False,311
558,Name0558,Dog0558,NL,15.463,21.934,38.775,42.145,5,5,False,312
25,Name0025,Dog0025,NL,7.741,13.059,32.164,42.146,5,5,False,313
708,Name0708,Dog0708,NL,4.746,11.362,24.251,42.186,5,5,False,314
444,Name0444,Dog0444,NL,13.301,27.821,37.238,42.194,5,5,False,315
421,Name0421,Dog0421,NL,10.426,24.473,34.937,42.243,5,5,False,316
282,Name0282,Dog0282,NL,17.618,22.405,26.740,42.268,5,5,False,317
844,Name0844,Dog0844,NL,17.089,23.678,37.297,42.270,5,5,False,318
127,Name0127,Dog0127,NL,6.639,13.653,26.344,42.288,5,5,False,319
845,Name0845,Dog0845,NL,7.156,13.106,30.987,42.322,5,5,False,320
928,Name0928,Dog0928,NL,11.437,28.648,36.353,42.322,5,5,False,320
834,Name0834,Dog0834,NL,5.350,12.813,28.851,42.376,5,5,False,321
907,Name0907,Dog0907,NL,13.766,20.562,35.678,42.394,5,5,False,322
446,Name0446,Dog0446,NL,13.305,23.179,37.399,42.405,5,5,False,323
220,Name0220,Dog0220,NL,3.615,23.590,28.050,42.415,5,5,False,324
323,Name0323,Dog0323,NL,11.568,22.099,29.877,42.500,5,5,False,325
350,Name0350,Dog0350,NL,10.492,17.478,25.705,42.529,5,5,False,326
189,Name0189,Dog0189,NL,14.344,25.972,30.781,42.534,5,5,False,327
678,Name0678,Dog0678,NL,3.866,21.752,36.051,42.598,5,5,False,328
333,Name0333,Dog0333,NL,4.880,18.992,31.020,42.696,5,5,False,329
432,Name0432,Dog0432,NL,8.707,19.290,35.716,42.757,5,5,False,330
383,Name0383,Dog0383,NL,12.963,25.680,36.559,42.785,5,5,False,331
618,Name0618,Dog0618,NL,5.560,21.164,26.705,42.814,5,5,False,332
53,Name0053,Dog0053,NL,19.220,23.726,27.228,42.873,5,5,False,333
932,Name0932,Dog0932,NL,3.576,15.536,32.930,42.879,5,5,False,334
353,Name0353,Dog0353,NL,5.332,24.164,34.812,42.915,5,5,False,335
687,Name0687,Dog0687,NL,19.098,29.124,37.190,42.948,5,5,False,336
247,Name0247,Dog0247,NL,9.907,13.232,24.087,42.954,5,5,False,337
